ticker,feature,correlation,abs_correlation,p_value,mutual_info,n_samples
AMD,tweet_embedding_270,-0.34121942811337347,0.34121942811337347,4.561079855687146e-08,2.161305884695024,244
AMD,tweet_embedding_377,-0.33995672637163854,0.33995672637163854,5.1488322300351035e-08,2.0305323245159888,244
AMD,tweet_embedding_224,-0.33918457620090836,0.33918457620090836,5.5434960839314816e-08,2.0483736147455454,244
AMD,tweet_embedding_pca_17,0.3365318522002104,0.3365318522002104,7.133668824914773e-08,1.9707863052316716,244
AMD,tweet_embedding_25,0.3350337808028373,0.3350337808028373,8.21701660616486e-08,2.108572369204349,244
AMD,tweet_embedding_126,0.33491537840678454,0.33491537840678454,8.309085021454615e-08,2.0289308007082547,244
AMD,tweet_embedding_380,0.3345163504521005,0.3345163504521005,8.62673132483419e-08,1.9890509451172251,244
AMD,tweet_embedding_89,0.3322310434772945,0.3322310434772945,1.068355317606469e-07,2.082683604031968,244
AMD,tweet_embedding_pca_38,-0.3296901195694383,0.3296901195694383,1.3523489606301766e-07,2.1232909823912056,244
AMD,tweet_embedding_198,0.32872274412592284,0.32872274412592284,1.4784969441296548e-07,2.0069230170897763,244
AMD,tweet_embedding_326,0.32685504022501105,0.32685504022501105,1.7547723354906598e-07,2.054353198020162,244
AMD,tweet_embedding_101,-0.32168869881804063,0.32168869881804063,2.801820528410647e-07,2.071695739284728,244
AMD,tweet_embedding_184,0.320237057068418,0.320237057068418,3.1905279428028697e-07,2.02623027286178,244
AMD,tweet_embedding_156,0.3168264634074257,0.3168264634074257,4.317799167126975e-07,2.0955020993944835,244
AMD,tweet_embedding_35,0.3160766658670289,0.3160766658670289,4.612454076486437e-07,2.130659626409402,244
AMD,tweet_embedding_381,0.31579447827099455,0.31579447827099455,4.728263222007173e-07,2.0951772127355266,244
AMD,tweet_embedding_275,-0.31361035753196687,0.31361035753196687,5.723791213131526e-07,1.9576185692868617,244
AMD,tweet_embedding_124,-0.312773697183995,0.312773697183995,6.155966560721012e-07,2.0807128141033147,244
AMD,tweet_embedding_102,0.3126107520652419,0.3126107520652419,6.243695726584069e-07,2.0585278560512013,244
AMD,tweet_embedding_pca_16,0.31211674327467864,0.31211674327467864,6.517047308906286e-07,2.017009946524314,244
AMD,tweet_embedding_197,0.3090912820105138,0.3090912820105138,8.458350839061537e-07,2.0146386202105444,244
AMD,tweet_embedding_171,0.30750634552459366,0.30750634552459366,9.685101717128084e-07,1.9727377663218257,244
AMD,tweet_embedding_0,0.3066535646745125,0.3066535646745125,1.0413808780045466e-06,1.9870931230245077,244
